"","x"
"422",-10125.5598546874
"423",19259.9593618668
"424",-26509.0598546895
"425",31163.2688694449
"426",-32767
"427",31163.2688694445
"428",-26509.0598546801
"429",19259.9593618658
"430",-10125.5598546791
"431",-5.46655357861869e-10
"432",10125.5598546872
"433",-19259.9593618727
"434",26509.0598546851
"435",-31163.2688694425
"436",32767
"437",-31163.2688694422
"438",26509.0598546845
"439",-19259.9593618659
"440",10125.5598546864
"441",7.83645746796173e-09
"442",-10125.5598546871
"443",19259.9593618665
"444",-26509.0598546806
"445",31163.2688694448
"446",-32767
"447",31163.2688694423
"448",-26509.0598546846
"449",19259.95936186
"450",-10125.5598546794
"451",-2.25553131564821e-10
"452",10125.5598546799
"453",-19259.9593618724
"454",26509.0598546849
"455",-31163.2688694447
"456",32767
"457",-31163.2688694423
"458",26509.0598546803
"459",-19259.9593618662
"460",10125.5598546867
"461",7.51535524166468e-09
"462",-10125.5598546868
"463",19259.9593618723
"464",-26509.0598546848
"465",31163.2688694424
"466",-32767
"467",31163.2688694424
"468",-26509.0598546848
"469",19259.9593618663
"470",-10125.5598546797
"471",9.55490947322259e-11
"472",10125.5598546866
"473",-19259.9593618662
"474",26509.0598546891
"475",-31163.2688694446
"476",32767
"477",-31163.2688694447
"478",26509.0598546805
"479",-19259.9593618664
"480",10125.5598546799
"481",-2.56100207880749e-10
"482",-10125.5598546936
"483",19259.9593618721
"484",-26509.0598546846
"485",31163.2688694423
"486",-32767
"487",31163.2688694425
"488",-26509.0598546806
"489",19259.9593618666
"490",-10125.5598546871
"491",-7.03370190221911e-09
"492",10125.5598546863
"493",-19259.9593618659
"494",26509.0598546845
"495",-31163.2688694445
"496",32767
"497",-31163.2688694425
"498",26509.0598546851
"499",-19259.9593618607
"500",10125.5598546802
"501",-5.77202434177797e-10
"502",-10125.5598546862
"503",19259.9593618718
"504",-26509.0598546844
"505",31163.2688694445
"506",-32767
"507",31163.2688694403
"508",-26509.0598546808
"509",19259.9593618668
"510",-10125.5598546874
"511",-6.71259967592206e-09
"512",10125.559854686
"513",-19259.9593618717
"514",26509.0598546843
"515",-31163.2688694421
"516",32767
"517",-31163.2688694426
"518",26509.0598546853
"519",-19259.959361867
"520",10125.5598546805
"521",6.55204856277354e-09
"522",-10125.5598546859
"523",19259.9593618655
"524",-26509.0598546886
"525",31163.2688694444
"526",-32767
"527",31163.2688694427
"528",-26509.059854681
"529",19259.9593618671
"530",-10125.5598546806
"531",1.05885577362337e-09
"532",10125.5598546928
"533",-19259.9593618714
"534",26509.0598546841
"535",-31163.2688694443
"536",32767
"537",-31163.2688694427
"538",26509.0598546811
"539",-19259.9593618672
"540",10125.5598546879
"541",6.23094633647649e-09
"542",-10125.5598546856
"543",19259.9593618652
"544",-26509.059854684
"545",31163.2688694443
"546",-32767
"547",31163.2688694428
"548",-26509.0598546856
"549",19259.9593618613
"550",-10125.5598546809
"551",1.37995799992041e-09
"552",10125.5598546854
"553",-19259.9593618711
"554",26509.0598546883
"555",-31163.2688694442
"556",32767
"557",-31163.2688694405
"558",26509.0598546813
"559",-19259.9593618675
"560",10125.5598546811
"561",5.90984411017945e-09
"562",-10125.5598546853
"563",19259.959361871
"564",-26509.0598546838
"565",31163.2688694419
"566",-32767
"567",31163.2688694429
"568",-26509.0598546814
"569",19259.9593618676
"570",-10125.5598546813
"571",-5.74929299703092e-09
"572",10125.5598546851
"573",-19259.9593618649
"574",26509.0598546881
"575",-31163.2688694441
"576",32767
"577",-31163.2688694429
"578",26509.0598546815
"579",-19259.9593618617
"580",10125.5598546814
"581",-1.86161133936599e-09
"582",-10125.559854692
"583",19259.9593618708
"584",-26509.0598546837
"585",31163.2688694441
"586",-32767
"587",31163.2688694407
"588",-26509.0598546816
"589",19259.9593618679
"590",-10125.5598546886
"591",-5.42819077073388e-09
"592",10125.5598546848
"593",-19259.9593618706
"594",26509.0598546836
"595",-31163.268869444
"596",32767
"597",-31163.2688694407
"598",26509.059854686
"599",-19259.959361868
"600",10125.5598546817
"601",5.26763965758535e-09
"602",-10125.5598546776
"603",19259.9593618765
"604",-26509.0598546835
"605",31163.268869444
"606",-32767
"607",31163.2688694408
"608",-26509.0598546774
"609",19259.9593618681
"610",-10125.5598546819
"611",-5.10708854443683e-09
"612",10125.5598546916
"613",-19259.9593618643
"614",26509.0598546834
"615",-31163.2688694439
"616",32767
"617",-31163.2688694408
"618",26509.0598546862
"619",-19259.9593618683
"620",10125.559854682
"621",4.9465374312883e-09
"622",-10125.5598546914
"623",19259.9593618642
"624",-26509.059854692
"625",31163.2688694439
"626",-32767
"627",31163.2688694455
"628",-26509.0598546776
"629",19259.9593618684
"630",-10125.5598546822
"631",-4.78598631813978e-09
"632",10125.5598546913
"633",-19259.9593618761
"634",26509.0598546832
"635",-31163.2688694438
"636",32767
"637",-31163.2688694409
"638",26509.0598546864
"639",-19259.9593618685
"640",10125.5598546823
"641",4.62543520499126e-09
"642",-10125.5598546911
"643",19259.9593618639
"644",-26509.0598546831
"645",31163.2688694438
"646",-32767
"647",31163.268869441
"648",-26509.0598546865
"649",19259.9593618566
"650",-10125.5598546825
"651",-4.46488409184273e-09
"652",10125.5598546768
"653",-19259.9593618759
"654",26509.059854683
"655",-31163.2688694437
"656",32767
"657",-31163.268869441
"658",26509.0598546778
"659",-19259.9593618688
"660",10125.5598546826
"661",4.30433297869421e-09
"662",-10125.5598546908
"663",19259.9593618757
"664",-26509.0598546829
"665",31163.2688694437
"666",-32767
"667",31163.2688694411
"668",-26509.0598546867
"669",19259.9593618689
"670",-10125.5598546828
"671",-4.14378186554569e-09
"672",10125.5598546907
"673",-19259.9593618636
"674",26509.0598546916
"675",-31163.2688694436
"676",32767
"677",-31163.2688694457
"678",26509.059854678
"679",-19259.959361869
"680",10125.5598546829
"681",3.98323075239716e-09
"682",-10125.5598546905
"683",19259.9593618755
"684",-26509.0598546827
"685",31163.2688694436
"686",-32767
"687",31163.2688694412
"688",-26509.0598546781
"689",19259.9593618692
"690",-10125.5598546831
"691",-3.82267963924864e-09
"692",10125.5598546904
"693",-19259.9593618633
"694",26509.0598546826
"695",-31163.2688694435
"696",32767
"697",-31163.2688694412
"698",26509.059854687
"699",-19259.9593618572
"700",10125.5598546832
"701",3.66212852610012e-09
"702",-10125.5598546902
"703",19259.9593618752
"704",-26509.0598546825
"705",31163.2688694435
"706",-32767
"707",31163.2688694413
"708",-26509.0598546783
"709",19259.9593618694
"710",-10125.5598546834
"711",-3.50157741295159e-09
"712",10125.5598546901
"713",-19259.9593618751
"714",26509.0598546824
"715",-31163.268869448
"716",32767
"717",-31163.2688694413
"718",26509.0598546872
"719",-19259.9593618696
"720",10125.5598546835
"721",3.34102629980307e-09
"722",-10125.5598546899
"723",19259.9593618629
"724",-26509.0598546911
"725",31163.2688694434
"726",-32767
"727",31163.2688694414
"728",-26509.0598546785
"729",19259.9593618697
"730",-10125.5598546837
"731",-3.18047518665454e-09
"732",10125.5598546897
"733",-19259.9593618748
"734",26509.0598546822
"735",-31163.2688694433
"736",32767
"737",-31163.2688694414
"738",26509.0598546786
"739",-19259.9593618698
"740",10125.5598546697
"741",3.01992407350602e-09
"742",-10125.5598546896
"743",19259.9593618626
"744",-26509.0598546821
"745",31163.2688694433
"746",-32767
"747",31163.2688694415
"748",-26509.0598546874
"749",19259.9593618579
"750",-10125.559854684
"751",-2.8593729603575e-09
"752",10125.5598546894
"753",-19259.9593618746
"754",26509.0598546908
"755",-31163.2688694432
"756",32767
"757",-31163.2688694415
"758",26509.0598546788
"759",-19259.9593618701
"760",10125.5598546842
"761",2.69882184720897e-09
"762",-10125.5598546893
"763",19259.9593618744
"764",-26509.059854682
"765",31163.2688694478
"766",-32767
"767",31163.2688694416
"768",-26509.0598546789
"769",19259.9593618702
"770",-10125.5598546843
"771",-2.53827073406045e-09
"772",10125.5598546891
"773",-19259.9593618623
"774",26509.0598546906
"775",-31163.2688694431
"776",32767
"777",-31163.2688694416
"778",26509.059854679
"779",-19259.9593618583
"780",10125.5598546845
"781",2.37771962091193e-09
"782",-10125.559854689
"783",19259.9593618742
"784",-26509.0598546818
"785",31163.2688694431
"786",-32767
"787",31163.2688694417
"788",-26509.0598546791
"789",19259.9593618705
"790",-10125.5598546704
"791",-2.2171685077634e-09
"792",10125.5598546888
"793",-19259.9593618741
"794",26509.0598546904
"795",-31163.268869443
"796",32767
"797",-31163.2688694417
"798",26509.0598546879
"799",-19259.9593618585
"800",10125.5598546848
"801",2.05661739461488e-09
